Index,Unnamed: 0,Star_name,Distance,Mass,Radius
0,0,Sun,0.000015813,1,1
1,1,Sirius,0008.6,2.1,1.71
2,2,Canopus,0310,15,71
3,3,Alpha Centauri,0004.4,1.1,1.2
4,4,Arcturus,0037,1.1,26
5,5,Vega,0025,2.2,2.7
6,6,Capella,0043,2.6,12
7,7,Rigel,0860,23,78.9
8,8,Procyon,0011.4,1.5,1.9
10,10,Achernar,0144,6.7,9.3
11,11,Hadar,0390,10.5,8.6
12,12,Altair,0017,1.8,1.8
13,13,Acrux,0320,18,8.9
14,14,Aldebaran,0065,1.5,44
15,15,Antares,0600,12,680
16,16,Spica,0260,11.43,7.47
17,17,Pollux,0034,1.9,8.8
18,18,Fomalhaut,0025,1.9,1.8
19,19,Deneb,"2,600",19,203
20,20,Mimosa,0350,16,8.4
21,21,Regulus,0077,3.8,3.1
22,22,Adhara,0430,12.5,14
23,23,Shaula,0700,14.5,8.8
24,24,Castor,0052,2.8,2.4
25,25,Gacrux,0088,1.5,84
26,26,Bellatrix,0240,8.6,5.8
27,27,Elnath,0130,5.0,4.2
28,28,Miaplacidus,0110,3.5,6.8
29,29,Alnilam,"2,000",32,42
30,30,Gamma Velorum,"01,100",9.0,6
31,31,Alnair,0101,4.0,3.4
32,32,Alioth,0081,2.9,4.2
33,33,Alnitak,01050,33,20
34,34,Dubhe,0120,4.25,30
35,35,Mirfak,0590,8.5,68
36,36,Wezen,"1,600",17,200
37,37,Sargas,0270,5.7,26
38,38,Kaus Australis,0140,3.5,6.8
39,39,Avior,0630,9.0,130
40,40,Alkaid,0104,6.1,3.4
41,41,Menkalinan,081,2.39,2.77
42,42,Atria,0390,7,92
43,43,Alhena,0109,2.8,3.3
44,44,Peacock,0180,5.9,4.8
45,45,Alsephina[2],0080,2.4,2.9
46,46,Mirzam,0500,13.5,10
47,47,Polaris,0430,5.4,39
48,48,Alphard,0180,3.0,50
49,49,Mintaka,01200,24,16.5
50,50,Scheat,0196,2.1,95
51,51,Almaaz,0653,15,140
52,52,Rasalgethi,0360,2.8,280
53,53,Tau Ceti,011.9,0.783,0.893
54,54,Delta Pavonis,019.92,0.991,1.22
55,55,Ran,010.48,0.82,0.74
56,56,V382 Carinae,"08,900",20,485
58,58,Delta Cephei,0887,4.5,44.5
59,59,Mu Cephei,"06,000",19.2,972
60,60,Titawin,044.25,1.27,1.48
62,62,P Cygni,"05,545",30,76
65,65,61 Cygni,011.41,0.7,0.665
67,67,Polaris Australis,0281,1.59,3.74
68,68,R Coronae Borealis,"04,566",0.85,85
69,69,54 Piscium,036.1,0.76,0.94
70,70,Mira,0300,1.2,370
71,71,RW Cephei,"014,000",13.9,"1158"
72,72,Lacaille 8760,012.87,0.6,0.51
75,75,II Pegasi,0130,0.8,3.4
76,76,VY Canis Majoris,"03,900",17,"1420"
77,77,Pistol Star,"025,000",100,320
78,78,S Doradus,"0169,000",24,380
80,80,Barnard's Star,05.98,0.14,0.20
82,82,Proxima Centauri,04.25,0.12,0.15
83,83,KIC 8462852,"01,470",1.43,1.58
84,84,R136a1,"0163,000",290,32
85,85,Melnick 42,"0163,000",189,21.1
86,86,WR 102,"018,134",19,0.39
87,87,VFTS 352,"0164,000",57.48,14.47
88,88,YBP 1194,"02,772",1.01,0.99
89,89,Gliese 1214,047.5,0.16,0.21
91,91,VB 10,018.72,0.075,0.10
93,93,TRAPPIST-1,039.6,0.089,0.12
94,94,2MASS J0523-1403,040.3,0.07,0.086
98,1,2MASS J00040288-6410358,192,0.018137172,0.16750368999999998
100,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
